,Unnamed: 0,fecha,prediccion_trx,canal,file_date,y_mobile,y_access,mes_año,model,perc_error,SLA,SLA_over
200,86,2020-12-10 00:00:00,239743,MB,2020-12-17 17:08:35,426546.0,1019684.0,202012,MB_uk,0.43794338711416825,False,False
201,31,2020-12-03 00:00:00,1078591,AB,2020-12-17 17:08:35,407311.0,913955.0,202012,AB_uk,-0.18013578349043444,False,True
202,85,2020-12-09 00:00:00,194657,MB,2020-12-17 17:08:35,430109.0,1963216.0,202012,MB_uk,0.5474240250727141,False,False
203,84,2020-12-08 00:00:00,45560,MB,2020-12-17 17:08:35,225985.0,187669.0,202012,MB_uk,0.7983936986968162,False,False
204,83,2020-12-07 00:00:00,32559,MB,2020-12-17 17:08:35,215062.0,155726.0,202012,MB_uk,0.8486064483730273,False,False
205,82,2020-12-04 00:00:00,312851,MB,2020-12-17 17:08:35,581103.0,1119813.0,202012,MB_uk,0.46162556379850045,False,False
206,81,2020-12-03 00:00:00,231107,MB,2020-12-17 17:08:35,407311.0,913955.0,202012,MB_uk,0.4326030968964747,False,False
207,80,2020-12-02 00:00:00,231468,MB,2020-12-17 17:08:35,401740.0,1008887.0,202012,MB_uk,0.4238363120426146,False,False
208,79,2020-12-01 00:00:00,339803,MB,2020-12-17 17:08:35,471700.0,1081816.0,202012,MB_uk,0.27962052151791394,False,False
209,77,2020-11-27 00:00:00,200093,MB,2020-12-17 17:08:35,288994.0,672794.0,202011,MB_uk,0.3076223035772369,False,False
211,76,2020-11-26 00:00:00,209024,MB,2020-12-17 17:08:35,244733.0,539614.0,202011,MB_uk,0.14591003256610266,False,False
212,75,2020-11-25 00:00:00,209385,MB,2020-12-17 17:08:35,258965.0,629110.0,202011,MB_uk,0.1914544436506864,False,False
213,61,2020-11-05 00:00:00,463891,MB,2020-12-17 17:08:35,555769.0,1086286.0,202011,MB_uk,0.16531688525268592,False,False
214,73,2020-11-23 00:00:00,117581,MB,2020-12-17 17:08:35,166550.0,99790.0,202011,MB_uk,0.2940198138697088,False,False
215,72,2020-11-20 00:00:00,254927,MB,2020-12-17 17:08:35,299527.0,656406.0,202011,MB_uk,0.1489014345952118,False,False
216,71,2020-11-19 00:00:00,263858,MB,2020-12-17 17:08:35,310968.0,650653.0,202011,MB_uk,0.15149468755627588,False,False
217,70,2020-11-18 00:00:00,264219,MB,2020-12-17 17:08:35,273857.0,709882.0,202011,MB_uk,0.035193549918388065,True,True
218,69,2020-11-17 00:00:00,290159,MB,2020-12-17 17:08:35,286419.0,660833.0,202011,MB_uk,-0.013057792953679748,True,True
219,68,2020-11-16 00:00:00,281151,MB,2020-12-17 17:08:35,320522.0,1059867.0,202011,MB_uk,0.12283400203418174,False,False
220,67,2020-11-13 00:00:00,318805,MB,2020-12-17 17:08:35,312186.0,737748.0,202011,MB_uk,-0.021202103873972568,True,True
221,66,2020-11-12 00:00:00,318725,MB,2020-12-17 17:08:35,322988.0,782280.0,202011,MB_uk,0.01319863276654241,True,True
222,65,2020-11-11 00:00:00,328097,MB,2020-12-17 17:08:35,372356.0,818131.0,202011,MB_uk,0.11886205674139802,False,False
223,64,2020-11-10 00:00:00,354037,MB,2020-12-17 17:08:35,425753.0,1000174.0,202011,MB_uk,0.1684450843564226,False,False
225,74,2020-11-24 00:00:00,210953,MB,2020-12-17 17:08:35,271379.0,1075976.0,202011,MB_uk,0.22266277051651012,False,False
228,57,2020-10-30 00:00:00,347966,MB,2020-12-17 17:08:35,323203.0,765541.0,202010,MB_uk,-0.07661748189218541,True,True
229,56,2020-10-29 00:00:00,253300,MB,2020-12-17 17:08:35,272788.0,621702.0,202010,MB_uk,0.07144009267269821,True,True
230,49,2020-12-29 00:00:00,801775,AB,2020-12-17 17:08:35,352735.0,722025.0,202012,AB_uk,-0.11045323915376891,False,True
231,48,2020-12-28 00:00:00,1260109,AB,2020-12-17 17:08:35,347830.0,1456392.0,202012,AB_uk,0.1347734675829035,False,False
238,59,2020-11-03 00:00:00,405074,MB,2020-12-17 17:08:35,438880.0,1076626.0,202011,MB_uk,0.07702788917243894,True,True
240,39,2020-12-15 00:00:00,930671,AB,2020-12-17 17:08:35,333783.0,773947.0,202012,AB_uk,-0.20249965436909761,False,True
241,38,2020-12-14 00:00:00,1239557,AB,2020-12-17 17:08:35,338689.0,1250377.0,202012,AB_uk,0.008653390137534519,True,True
242,37,2020-12-11 00:00:00,1055880,AB,2020-12-17 17:08:35,387153.0,871640.0,202012,AB_uk,-0.21137166720205589,False,True
243,36,2020-12-10 00:00:00,1075637,AB,2020-12-17 17:08:35,426546.0,1019684.0,202012,AB_uk,-0.05487288218703049,True,True
244,35,2020-12-09 00:00:00,1948856,AB,2020-12-17 17:08:35,430109.0,1963216.0,202012,AB_uk,0.007314528813946097,True,True
245,34,2020-12-08 00:00:00,392352,AB,2020-12-17 17:08:35,225985.0,187669.0,202012,AB_uk,-1.0906596187969244,False,True
246,33,2020-12-07 00:00:00,515492,AB,2020-12-17 17:08:35,215062.0,155726.0,202012,AB_uk,-2.3102500545830496,False,True
247,32,2020-12-04 00:00:00,1190569,AB,2020-12-17 17:08:35,581103.0,1119813.0,202012,AB_uk,-0.06318554973017816,True,True
248,58,2020-11-02 00:00:00,442092,MB,2020-12-17 17:08:35,441163.0,1547407.0,202011,MB_uk,-0.0021057976303543134,True,True
